,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
1966,25190,depth_meters_2021,0.4151228573983965,13,0.7,0.6797951455555995,8,8
1967,29593,depth_meters_2021,0.3206344161589816,10,0.625,0.756447386554056,9,9
1968,1042,depth_meters_2021,0.5034981780533483,15,0.75,0.8742263597645568,10,10
1969,25995,depth_meters_2021,0.7776093590346903,23,0.85,0.96749837734009,11,11
1970,9352,depth_meters_2021,0.44693882919540273,13,0.7,0.6823596499905241,8,8
1971,28861,depth_meters_2021,0.20347808313311133,6,0.49,0.5179999802974142,7,7
1972,25953,depth_meters_2021,0.38702117337031716,12,0.675,0.8226762589514027,10,10
1973,1746,depth_meters_2021,0.020150921187934046,1,0.15,0.290251010451613,4,4
1974,15693,depth_meters_2021,0.35023442487942014,11,0.65,0.7369998002809228,9,9
1975,18726,depth_meters_2021,0.5422121678728227,16,0.775,0.8920713420368328,10,10
1976,1745,depth_meters_2021,0.043662788256382035,2,0.225,0.10539037805710572,3,3
1977,57,depth_meters_2021,0.6197567492322195,18,0.81,0.9124969960688519,11,11
1978,22497,depth_meters_2021,0.9029928902464494,27,0.85,0.8667470560664426,10,10
1979,26983,depth_meters_2021,0.793217443229487,24,0.85,0.9783056748358754,11,11
1980,9241,depth_meters_2021,0.26943717882174334,8,0.58,0.7221267115460216,9,9
1981,14447,depth_meters_2021,0.9960809465249294,29,0.85,0.9884337048832609,11,11
1982,16224,depth_meters_2021,0.976619727946348,29,0.85,0.9011614828608806,11,11
1983,25866,depth_meters_2021,0.7184358048566258,21,0.84,0.9422503666428862,11,11
1984,29223,depth_meters_2021,0.2996986048488305,9,0.6,0.71915791370502,9,9
1985,12010,depth_meters_2021,0.7136021581507928,21,0.84,0.98905852180059,11,11
1986,6411,depth_meters_2021,0.6701054647182575,20,0.83,0.9772518604231897,11,11
1987,7450,depth_meters_2021,0.8600366005928546,25,0.85,0.9879000794426129,11,11
1988,9440,depth_meters_2021,0.8852648219402299,26,0.85,0.9934408438976082,11,11
1989,4343,depth_meters_2021,0.4064986144948397,12,0.675,0.7760932496834374,9,9
1990,18621,depth_meters_2021,0.5896534139721258,18,0.81,0.8888546905503131,10,10
1991,30000,depth_meters_2021,0.2069075378760541,7,0.55,0.6082024283036092,8,8
1992,26792,depth_meters_2021,0.08577963410527045,3,0.3,0.20624487804781416,4,4
1993,9173,depth_meters_2021,0.8469162514710347,25,0.85,0.9478208165022459,11,11
